n,max_levels,k, cpu_ms, cublas_kernel_ms, cublas_total_ms, gpu_kernel_ms, gpu_total_ms, ops_cublas, ops_gpu, gflops_cublas, gflops_gpu, relerr_cublas, relerr_custom
2048,12,12,4.066321,0.061952,24.406637,0.180228,11.953675,8388608,819200,135.548000,4.564890,0.000000804,0.000000796
2048,12,14,4.055515,0.061444,23.942912,0.177536,11.693713,8388608,950272,136.933375,5.361072,0.000000841,0.000000828
2048,12,16,4.246344,0.062208,24.741387,0.165236,6.205696,8388608,983040,135.120875,6.011151,0.000000827,0.000000823
2048,12,18,4.564759,0.063232,25.863675,0.172172,7.228544,8388608,1097728,133.480000,6.473084,0.000000835,0.000000827
4096,2,6,16.091188,0.139392,31.651200,0.089984,3.762685,33554432,8585216,240.743875,95.520425,0.000001171,0.000001149
4096,2,8,16.720950,0.138752,27.633662,0.090880,3.193215,33554432,8650752,241.901500,95.357600,0.000001149,0.000001129
4096,2,10,16.062313,0.139776,30.102262,0.091648,4.003328,33554432,8716288,240.094000,95.295788,0.000001222,0.000001201
4096,2,12,16.024275,0.139776,29.256075,0.094852,4.029820,33554432,8781824,240.084125,93.017900,0.000001158,0.000001138
4096,2,14,16.023725,0.138880,29.698937,0.089848,4.339327,33554432,8847360,241.646375,98.541825,0.000001188,0.000001172
4096,2,16,16.154400,0.140800,31.838225,0.090492,4.951681,33554432,8912896,238.318750,98.542975,0.000001146,0.000001128
4096,2,18,16.044238,0.139648,29.153025,0.092416,4.397441,33554432,8978432,240.310500,97.298225,0.000001151,0.000001132
4096,4,6,16.020500,0.138500,26.279825,0.102016,2.445568,33554432,2490368,242.319250,24.464175,0.000001199,0.000001177
4096,4,8,16.039987,0.139516,26.974837,0.101116,2.634495,33554432,2621440,240.544250,25.978713,0.000001194,0.000001174
4096,4,10,16.034875,0.139140,26.299762,0.100864,2.853504,33554432,2752512,241.200125,27.346675,0.000001183,0.000001163
4096,4,12,16.060400,0.138880,27.277963,0.100344,3.262847,33554432,2883584,241.672875,28.765100,0.000001176,0.000001158
4096,4,14,16.022437,0.138748,25.143313,0.102656,3.386111,33554432,3014656,241.873250,29.468750,0.000001175,0.000001151
4096,4,16,16.021800,0.138500,27.240838,0.099196,3.678204,33554432,3145728,242.310000,31.721900,0.000001161,0.000001142
4096,4,18,16.017388,0.139520,27.179237,0.102780,3.950588,33554432,3276800,240.533625,31.946887,0.000001202,0.000001180
