n,max_levels,k, cpu_ms, cublas_kernel_ms, cublas_total_ms, gpu_kernel_ms, gpu_total_ms, ops_cublas, ops_gpu, gflops_cublas, gflops_gpu, relerr_cublas, relerr_custom
1024,2,8,1.036551,4.012160,22.266112,0.173692,1.217084,2097152,589824,0.529770,3.434249,0.000000569,0.000000566
1024,2,10,0.992296,3.866496,21.563275,0.165124,1.203516,2097152,606208,0.547666,3.698026,0.000000576,0.000000574
1024,2,12,1.070409,3.883260,21.972987,0.163712,1.244056,2097152,622592,0.544422,3.823066,0.000000595,0.000000596
1024,2,14,1.034350,3.954434,22.218763,0.169216,1.282540,2097152,638976,0.536877,3.804121,0.000000561,0.000000560
1024,2,16,1.032743,3.811457,21.362300,0.167676,1.278616,2097152,655360,0.553076,3.921485,0.000000597,0.000000594
1024,2,18,1.155102,4.255231,24.210938,0.184196,1.422481,2097152,671744,0.500177,3.711156,0.000000601,0.000000602
1024,4,6,1.007162,4.025087,22.099975,0.235016,1.460516,2097152,229376,0.526673,0.985090,0.000000603,0.000000601
1024,4,8,0.991247,3.830658,20.982275,0.240000,1.455180,2097152,262144,0.551122,1.099080,0.000000605,0.000000607
1024,4,10,1.116566,4.304767,23.596425,0.250240,1.645032,2097152,294912,0.493570,1.197218,0.000000576,0.000000571
1024,4,12,1.071195,4.006661,22.559738,0.230144,1.556647,2097152,327680,0.529751,1.434892,0.000000570,0.000000564
1024,4,14,1.070472,4.007937,22.482688,0.240632,1.630851,2097152,360448,0.529677,1.520388,0.000000546,0.000000547
1024,4,16,1.070348,4.015101,22.481275,0.241804,1.657326,2097152,393216,0.529114,1.654483,0.000000582,0.000000584
1024,4,18,1.034056,3.819900,20.973425,5.013895,6.457824,2097152,425984,0.549486,0.085060,0.000000617,0.000000622
1024,6,6,0.952553,3.690366,20.193150,0.322820,3.583511,2097152,180224,0.568561,0.562082,0.000000582,0.000000577
1024,6,8,1.073599,4.002816,21.876100,0.342136,3.449098,2097152,229376,0.528770,0.679091,0.000000580,0.000000582
1024,6,10,0.991236,3.885440,21.359625,0.332292,3.740431,2097152,278528,0.542917,0.843388,0.000000587,0.000000588
1024,6,12,1.034934,3.992186,22.045838,0.335868,3.823361,2097152,327680,0.532952,0.985540,0.000000585,0.000000584
1024,6,14,1.034262,3.854334,21.385088,0.331144,3.778319,2097152,376832,0.547496,1.145804,0.000000599,0.000000600
1024,6,16,1.073048,3.955068,21.819388,0.318472,3.702406,2097152,425984,0.533986,1.344059,0.000000593,0.000000600
1024,6,18,1.035059,3.868923,21.778550,5.386496,9.074771,2097152,475136,0.546921,0.088688,0.000000573,0.000000579
1024,8,6,0.990631,3.812225,21.013125,0.418944,12.002263,2097152,204800,0.550204,0.490821,0.000000581,0.000000577
1024,8,8,1.111309,3.856644,22.125575,0.380032,6.151125,2097152,245760,0.543998,0.646922,0.000000588,0.000000589
1024,8,10,1.117400,3.863039,21.626887,0.393472,6.639401,2097152,303104,0.546176,0.776331,0.000000592,0.000000590
1024,8,12,0.963726,3.668480,20.535275,0.374520,6.371700,2097152,360448,0.571873,0.964740,0.000000575,0.000000575
1024,8,14,0.997439,3.928960,21.507188,0.403848,6.733905,2097152,417792,0.538448,1.040615,0.000000627,0.000000628
1024,8,16,0.994977,3.865088,21.505400,0.316672,3.651784,2097152,425984,0.547857,1.352970,0.000000599,0.000000604
1024,8,18,1.030949,3.866753,21.883625,5.323774,8.994534,2097152,475136,0.545912,0.090085,0.000000571,0.000000580
1024,10,6,1.037653,3.954170,22.107913,0.482816,13.104350,2097152,204800,0.536203,0.433753,0.000000588,0.000000580
1024,10,8,1.033368,3.891071,21.364600,0.392952,6.241820,2097152,245760,0.542577,0.629240,0.000000608,0.000000611
1024,10,10,1.074188,3.781633,22.268050,0.376316,6.510066,2097152,303104,0.555228,0.806078,0.000000594,0.000000595
1024,10,12,1.070738,3.799161,21.612037,0.374652,6.444481,2097152,360448,0.552494,0.962979,0.000000581,0.000000586
1024,10,14,1.470671,4.183165,23.531513,0.411392,7.001756,2097152,417792,0.508797,1.024889,0.000000585,0.000000587
1024,10,16,1.034358,4.016381,22.195850,0.332288,3.761624,2097152,425984,0.529573,1.290789,0.000000584,0.000000590
1024,10,18,1.203163,3.993216,22.980600,5.482364,9.272700,2097152,475136,0.532677,0.087354,0.000000588,0.000000586
1024,12,6,0.951756,3.751291,20.472950,0.409344,12.096613,2097152,204800,0.559212,0.501567,0.000000539,0.000000541
1024,12,8,1.155407,4.306816,23.753200,0.436100,6.779629,2097152,245760,0.494235,0.573264,0.000000566,0.000000574
1024,12,10,1.073611,4.070149,22.312438,0.414972,6.791565,2097152,303104,0.520671,0.741717,0.000000626,0.000000622
1024,12,12,1.033535,3.806208,21.648775,0.376964,6.437069,2097152,360448,0.551515,0.957057,0.000000583,0.000000584
1024,12,14,1.033072,4.039675,22.295562,0.393348,6.702027,2097152,417792,0.524762,1.068794,0.000000593,0.000000596
1024,12,16,1.072285,4.034816,22.783375,0.331004,3.789849,2097152,425984,0.526157,1.296689,0.000000574,0.000000582
1024,12,18,0.952075,3.710849,20.873725,5.159550,8.723627,2097152,475136,0.565352,0.092121,0.000000590,0.000000594
2048,2,6,4.067708,5.160321,23.635587,3.605380,5.689300,8388608,2195456,1.626448,0.609164,0.000000880,0.000000864
2048,2,8,3.919174,5.156096,24.266375,3.633924,5.889028,8388608,2228224,1.627673,0.613574,0.000000816,0.000000804
2048,2,10,4.080091,5.294207,24.433263,3.734015,6.001591,8388608,2260992,1.596791,0.611087,0.000000847,0.000000839
2048,2,12,4.371751,5.162496,23.942663,3.544196,5.846656,8388608,2293760,1.625511,0.647519,0.000000803,0.000000795
2048,2,14,3.909271,5.230849,24.132100,3.533952,5.994937,8388608,2326528,1.605329,0.658743,0.000000812,0.000000804
2048,2,16,3.903285,5.184895,23.082113,3.516414,5.907189,8388608,2359296,1.618504,0.671174,0.000000832,0.000000824
2048,2,18,4.062227,5.143809,23.930500,3.559296,6.151689,8388608,2392064,1.631342,0.672552,0.000000830,0.000000823
2048,4,6,4.048605,5.591681,24.121337,3.854852,5.454892,8388608,720896,1.514533,0.189792,0.000000876,0.000000865
2048,4,8,3.911490,5.184382,22.983037,3.591934,5.207449,8388608,786432,1.618454,0.219047,0.000000871,0.000000855
2048,4,10,3.896305,5.122816,23.170950,3.605380,5.350666,8388608,851968,1.637873,0.236495,0.000000816,0.000000808
2048,4,12,3.916327,5.178621,22.971637,3.584645,5.457904,8388608,917504,1.620292,0.256080,0.000000852,0.000000841
2048,4,14,4.215465,5.242368,23.395962,3.593472,5.618049,8388608,983040,1.600936,0.273642,0.000000796,0.000000790
2048,4,16,3.901346,5.200126,22.947212,3.635460,5.748972,8388608,1048576,1.613508,0.288683,0.000000849,0.000000839
2048,4,18,3.919469,5.271679,22.798075,3.547904,5.699919,8388608,1114112,1.591741,0.314164,0.000000853,0.000000846
2048,6,6,4.054365,5.246336,22.265850,3.646857,6.982460,8388608,425984,1.599029,0.116835,0.000000855,0.000000851
2048,6,8,4.222956,5.384067,23.837563,3.840256,7.159084,8388608,524288,1.567441,0.137583,0.000000835,0.000000825
2048,6,10,4.224211,5.387520,23.751438,3.850108,7.563026,8388608,622592,1.570407,0.162907,0.000000838,0.000000827
2048,6,12,4.228923,5.589247,24.501375,3.944060,7.738207,8388608,720896,1.522172,0.185350,0.000000848,0.000000835
2048,6,14,4.060739,5.480322,24.070013,3.806849,7.827424,8388608,819200,1.543144,0.216802,0.000000838,0.000000829
2048,6,16,3.895363,5.207809,23.086713,3.638014,7.468748,8388608,917504,1.611149,0.252315,0.000000854,0.000000845
2048,6,18,3.983351,5.316344,23.786113,3.760508,7.979099,8388608,1015808,1.580800,0.270389,0.000000820,0.000000817
2048,8,6,4.049715,5.426689,23.043437,3.917431,15.971037,8388608,425984,1.556845,0.109603,0.000000845,0.000000830
2048,8,8,3.907519,5.364609,22.946300,3.770504,15.044937,8388608,557056,1.565683,0.147808,0.000000793,0.000000782
2048,8,10,4.047361,5.196031,22.576912,3.855096,15.924075,8388608,688128,1.614984,0.178619,0.000000840,0.000000824
2048,8,12,3.893022,5.198719,22.781437,3.811587,15.815938,8388608,819200,1.614175,0.215047,0.000000800,0.000000795
2048,8,14,4.074723,5.221889,23.222775,3.780351,16.187800,8388608,950272,1.608845,0.251514,0.000000801,0.000000793
2048,8,16,3.900169,5.318401,23.119200,3.876860,10.329295,8388608,983040,1.586917,0.255510,0.000000861,0.000000846
2048,8,18,4.056628,5.244929,23.345662,3.780232,10.616400,8388608,1097728,1.599845,0.290551,0.000000845,0.000000838
2048,10,6,4.373261,5.464576,23.652338,3.979005,27.665713,8388608,458752,1.547011,0.116494,0.000000758,0.000000749
2048,10,8,4.541087,5.470976,24.296050,3.937921,15.685512,8388608,557056,1.545125,0.142545,0.000000857,0.000000852
2048,10,10,4.317979,5.526656,23.616900,3.931897,16.028713,8388608,688128,1.532935,0.176263,0.000000835,0.000000827
2048,10,12,3.907039,5.249920,23.415050,3.764864,15.791275,8388608,819200,1.599359,0.217667,0.000000851,0.000000842
2048,10,14,3.889284,5.167875,22.558325,3.819262,16.227763,8388608,950272,1.624064,0.248959,0.000000817,0.000000807
2048,10,16,4.063825,5.363585,23.972600,3.893761,10.321961,8388608,983040,1.578453,0.254467,0.000000836,0.000000828
2048,10,18,3.900129,5.168256,23.144700,3.765626,10.550163,8388608,1097728,1.623589,0.291676,0.000000843,0.000000836
2048,12,6,4.045642,5.394940,23.610888,3.922312,27.777362,8388608,458752,1.566879,0.117784,0.000000842,0.000000834
2048,12,8,4.188721,5.454465,23.220725,3.948790,15.392413,8388608,557056,1.551224,0.142122,0.000000899,0.000000884
2048,12,10,4.376658,5.381888,24.086400,3.998206,16.415475,8388608,688128,1.572014,0.173618,0.000000873,0.000000861
2048,12,12,4.062300,5.382274,23.846663,3.972480,16.429375,8388608,819200,1.571622,0.207406,0.000000833,0.000000824
2048,12,14,4.529776,5.665531,25.497475,4.130296,17.312075,8388608,950272,1.498878,0.232687,0.000000816,0.000000803
2048,12,16,3.903221,5.506689,24.212087,4.050956,10.620504,8388608,983040,1.541070,0.245929,0.000000851,0.000000844
2048,12,18,3.915854,5.190271,22.978050,3.761036,10.583638,8388608,1097728,1.616485,0.291998,0.000000826,0.000000817
4096,2,6,16.002700,5.247488,29.602675,3.678208,9.091181,33554432,8585216,6.395540,2.335565,0.000001101,0.000001083
4096,2,8,16.024150,5.374080,28.083975,3.586175,8.795859,33554432,8650752,6.244899,2.412955,0.000001194,0.000001174
4096,2,10,16.038363,5.149569,30.467562,3.685379,9.633176,33554432,8716288,6.517606,2.365972,0.000001122,0.000001104
4096,2,12,16.038812,5.228534,28.575363,3.665919,9.564061,33554432,8781824,6.421119,2.396955,0.000001180,0.000001160
4096,2,14,16.009925,5.311360,30.216450,3.567749,9.973047,33554432,8847360,6.317794,2.479880,0.000001191,0.000001174
4096,2,16,16.049350,5.235712,29.046525,3.632897,9.883461,33554432,8912896,6.411295,2.454248,0.000001178,0.000001158
4096,2,18,16.073162,5.352451,28.779525,3.686526,10.000240,33554432,8978432,6.285490,2.438169,0.000001179,0.000001160
4096,4,6,16.098350,3.593086,26.152963,3.691909,8.360700,33554432,2490368,9.342268,0.674773,0.000001200,0.000001180
4096,4,8,16.032725,3.648767,25.753338,3.787772,8.678249,33554432,2621440,9.205559,0.693922,0.000001154,0.000001136
4096,4,10,16.047238,3.643649,26.063875,3.711995,8.925469,33554432,2752512,9.210060,0.741593,0.000001121,0.000001100
4096,4,12,16.034837,3.639040,25.118738,3.674369,9.187735,33554432,2883584,9.224481,0.784857,0.000001172,0.000001151
4096,4,14,16.066038,3.663361,25.960475,3.649921,9.496771,33554432,3014656,9.162097,0.826304,0.000001211,0.000001192
4096,4,16,16.025713,3.683067,25.964012,3.668476,9.738193,33554432,3145728,9.114935,0.857776,0.000001208,0.000001191
4096,4,18,15.994513,3.690752,28.179450,3.684609,10.145812,33554432,3276800,9.094670,0.889412,0.000001201,0.000001182
